ConsupDate_id,Payment_method,Points
WH-89255079,葡萄奶酥炸彈,28
WH-89255079,聖誕夜之星,35
WH-89255079,聖誕夜之星,35
WP-28969362,混沌拉麵,85
VZ-00301065,純喫茶紅茶650ml,25
WH-89258679,波羅,25
WH-89258679,葡萄奶酥炸彈,28
WH-89258679,黑糖杯杯,28
VZ-00301466,瑞穗麥芽牛奶,42
VM-05045438,黑人牙膏,64
WH-89319039,波羅 ,50
WH-89319039,波羅 ,50
VM-05089116,H20純水家庭號,45
VM-05089133,防寒手套,99
WM-4089993,經典中薯,17
WM-4089993,加購六塊雞,55
WM-4089993,嫩煎雞腿堡,82
WM-4089993,雪碧,33
WH-89260141,波羅麵包,25
WH-89260142,波羅麵包,25
WH-89260143,波羅麵包,25
WH-89260144,波羅麵包,25
WM-54095660,50點換大薯,0
VZ-00310441,舒潔棉柔小熊維尼版,99.5
VZ-00310441,舒潔棉柔小熊維泥版,99.5
